job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry,Job_Title,Mapped_Skill_Set
4150607930,Data Engineer (m/w/d) ,DP World,Remote,Full-time,"Python, SQL, Power BI, Databricks, Azure",German,Unknown,Unknown,Germany,Sales & Marketing,Data Engineer,"Power BI, Databricks, SQL, Python, Azure"
4138348512,Data Engineer,Apside Switzerland,On-site,Full-time,"Scala, MongoDB, Python, SQL, MySQL, Cloud, Spark, ETL",Other,Plein,Rhineland-Palatinate,Germany,Product,Data Engineer,"ETL Tools, Scala, SQL, Python, Spark, MongoDB, GCP"
4091569134,Data Engineer (m/w/d) ,myneva,Hybrid,Full-time,"PyTorch, TensorFlow, Python, SQL, Airflow, scikit-learn, R",German,Hamburg,Hamburg,Germany,Sales & Marketing,Data Engineer,"Airflow, Scipy/scikit-learn, R, SQL, Python, PyTorch, TensorFlow"
4067161322,Data Engineer (m/w/d) ,DP World,On-site,Full-time,"Python, SQL, Power BI, Databricks, Azure",German,Hamburg,Unknown,Germany,Sales & Marketing,Data Engineer,"Power BI, Databricks, SQL, Python, Azure"
4153129302,(Senior) Data Engineer (m/w/d),ADNOVA Software und Services GmbH,Remote,Full-time,"Python, SQL, Spark",German,Unknown,Unknown,Germany,Sales & Marketing,Data Engineer,"Python, Spark, SQL"
4044001258,Senior Data Engineer (all genders) ,Lufthansa Industry Solutions,Unknown,Unknown,"Azure, Cloud, Generative AI",German,Cologne,North Rhine-Westphalia,Germany,Sales & Marketing,Data Engineer,"GCP, Azure"
4019282485,Data Engineer - ETL Developer (w/m/d),PRODATO,On-site,Full-time,"Docker, Java, Python, SQL, Talend, ETL",English & German,Nuremberg,Bavaria,Germany,Sales & Marketing,Data Engineer,"ETL Tools, Docker, Java, SQL, Python, Talend"
4019105618,DATA ENGINEER (D/M/W),Solvares Group,Hybrid,Full-time,"Python, SQL, Azure, PowerBI, R, Microsoft Azure",German,Heikendorf,Schleswig-Holstein,Germany,Sales & Marketing,Other,"Power BI, R, SQL, Python, Azure"
4130998003,Analytics Engineer (m/w/d) ,FUNKE,Hybrid,Full-time,"Python, SQL, Google Cloud Platform, Cloud, Google Cloud, dbt",German,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"dbt, Python, GCP, SQL"
4165490589,Data Engineer (w/m/d) ,Dräger,Unknown,Unknown,"CI/CD, Git, Python, Cloud, Spark",German,Lübeck,Schleswig-Holstein,Germany,Sales & Marketing,Data Engineer,"git, Python, Spark, GCP, CI/CD"
4159644852,Senior Data Engineer (m/w/d) ,cosnova,On-site,Full-time,"Python, SQL",German,Sulzbach,Hesse,Germany,Sales & Marketing,Data Engineer,"Python, SQL"
4077472002,Data Warehouse ETL Entwickler (m/w/d) ,virtual7 GmbH,Remote,Full-time,"SQL, Oracle, ETL",German,Karlsruhe,Baden-Württemberg,Germany,Sales & Marketing,Other,"ETL Tools, SQL"
4169751642,(Senior) Data Engineer (w/m/d),NEXGEN Business Consultants (now part of Cofinpro),Hybrid,Full-time,"Docker, Java, Scala, Kubernetes, Python, SQL, Google Cloud Platform, Cloud, Databricks, ETL-Pipelines, Google Cloud, Azure, Kafka, Apache Spark, Spark, Microsoft Azure",German,Frankfurt,Hesse,Germany,Sales & Marketing,Data Engineer,"ETL Tools, Docker, Databricks, Scala, Java, Kafka, Kubernetes, SQL, Python, Spark, Azure, GCP"
3733041703,Data Engineer (all genders) ,adesso SE,On-site,Full-time,"Java, CI/CD, Scala, Git, GCP, Python, Cloud, Ansible, Kafka, Azure, AWS",German,Münster,North Rhine-Westphalia,Germany,Sales & Marketing,Data Engineer,"Scala, Java, Kafka, git, AWS, Python, Azure, GCP, CI/CD"
4160111953,Senior Data Engineer,valantic ACE GmbH (vormals SIEGER Consulting),Remote,Full-time,"Python, SQL, Databricks, Snowflake, Azure, Spark, AWS",German,Unknown,Unknown,Germany,Sales & Marketing,Data Engineer,"Databricks, AWS, SQL, Python, Spark, Azure, Snowflake"
4144917433,Data Engineer Waffensystemdaten (m/w/d) ,IABG,On-site,Full-time,"Docker, Git, Python, Airflow, ETL",German,Bonn,North Rhine-Westphalia,Germany,Sales & Marketing,Data Engineer,"Airflow, ETL Tools, Docker, git, Python"
4143434288,Big Data Engineer (m/w/d) ,Conrad Electronic Group,Hybrid,Full-time,"SQL, Google Cloud Platform, Cloud, Kafka, Google Cloud, BigQuery, ETL",German,Hirschau,Bavaria,Germany,Sales & Marketing,Data Engineer,"ETL Tools, Kafka, SQL, BigQuery, GCP"
4148236507,(Junior) Cloud Data Engineer (all genders),DYMATRIX,Hybrid,Full-time,"Postgres, SQL, Cloud, MS SQL Server, Azure, PowerBI",German,Stuttgart,Baden-Württemberg,Germany,Sales & Marketing,Data Engineer,"Power BI, PostgresSQL, SQL, Azure, GCP"
4110658605,Data-Engineer KI (m/w/d) (Data Engineer),onexip GmbH,On-site,Full-time,Kubernetes,German,Dresden,Saxony,Germany,Sales & Marketing,Data Engineer,Kubernetes
4139518388,Cloud Data Engineer - Databricks (all genders) ,adesso SE,On-site,Full-time,"PySpark, Cloud, Databricks, Spark",German,Leipzig,Saxony,Germany,Sales & Marketing,Data Engineer,"Databricks, Spark, GCP"
4125887516,Senior Data Engineer (m/w/d) ,Schunk Group,Remote,Full-time,"Python, SQL, Cloud, Databricks, Azure, Spark, PySpark, ETL",German,Heuchelheim,Hesse,Germany,Sales & Marketing,Data Engineer,"ETL Tools, Databricks, SQL, Python, Spark, Azure, GCP"
4168412615,Senior Data Engineer (m/f/d),Project A,On-site,Full-time,"Spark, Databricks, Kafka",English,Berlin,Berlin,Germany,Sales & Marketing,Data Engineer,"Spark, Databricks, Kafka"
4075533804,Senior Data Engineer (w/m/d) ,Capgemini,Hybrid,Full-time,"Java, CI/CD, Scala, Python, SQL, Cloud, Databricks, Snowflake, Spark, PySpark, AWS",German,Berlin,Berlin,Germany,Sales & Marketing,Data Engineer,"Databricks, Scala, Java, AWS, SQL, Python, Spark, Snowflake, GCP, CI/CD"
4124894419,Senior Data Engineer (m/f/d),mrge,On-site,Full-time,"Docker, Java, CI/CD, Scala, Kubernetes, Python, SQL, OLAP, Databricks, Snowflake, Terraform, Kinesis, Kafka, ML, Spark, dbt, AWS",English,Hamburg,Hamburg,Germany,Sales & Marketing,Data Engineer,"ML, Docker, OLAP, Kinesis, Terraform, Databricks, Scala, Java, Kafka, Kubernetes, SQL, Python, Spark, AWS, Snowflake, dbt, CI/CD"
4107120121,(Senior) Cloud / Data Engineer Analytics (m/w/d) ,REWE Group,Unknown,Unknown,"CI/CD, Python, SQL, Cloud, Google Cloud, ETL",German,Cologne,North Rhine-Westphalia,Germany,Sales & Marketing,Data Analyst,"ETL Tools, SQL, Python, GCP, CI/CD"
4152696810,Senior Analytics Engineer (m/f/d) ,Hoffmann Group,Hybrid,Full-time,"SQL, dbt",English,Munich,Bavaria,Germany,Product,Data Analyst,"dbt, SQL"
4096847729,Data Engineer,Not Found,Remote,Full-time,"Python, SQL, Talend, Tableau",German,Pfaffenhofen an der Ilm,Bavaria,Germany,Product,Data Engineer,"Python, Talend, Tableau, SQL"
4169755864,"Data Engineer Google (m/w/d) , remote oder hybrid bundesweit",PCG DACH,Remote,Full-time,"Java, Python, SQL, Google Cloud Platform, Cloud, Kafka, Google Cloud, Terraform, Spark",German,Frankfurt,Hesse,Germany,AI,Data Engineer,"Terraform, Kafka, Java, SQL, Python, Spark, GCP"
3920553572,(Senior) Software Developer Datenmigration (all genders) für die adesso insurance solutions GmbH ,adesso insurance solutions GmbH,On-site,Full-time,Java,German,Aachen,North Rhine-Westphalia,Germany,Sales & Marketing,Other,Java
